window_label,window_start_index,window_stop_index,time0,time1,interval_count,omega0,omega1,delta_omega,relative_delta_omega,S0_all_positive,S1_all_positive,delta_S_all_positive,relative_delta_S,A0_positive_point_count_proxy,A1_positive_point_count_proxy,delta_A_proxy,relative_delta_A,N0_active_locmax,N1_active_locmax,delta_N_active_locmax,relative_delta_N,positive_stretch_loss_proxy,loss_to_S_growth,B_patch_negative_proxy0,B_patch_negative_proxy1,delta_B_patch_negative_proxy,relative_delta_B_patch_negative_proxy,B_outside_active_measured,growth_condition,no_expansion_condition,low_loss_proxy_condition,no_B_compensation_condition,growth_without_active_expansion,proxy_REAL_NS_candidate,decisive_REAL_NS_candidate
w3_10_13,10,13,0.2400000000000001,0.3000000000000002,3,255.6329131419317,289.52088750781803,33.88797436588632,0.13256498918459356,1530588.8002584074,1540824.821398042,10236.02113963454,0.006687636246852457,402338.0,402187.0,-151.0,-0.00037530633447499366,14344.0,14191.0,-153.0,-0.010666480758505298,1900021.1441694365,185.6210648894062,,,,,False,False,True,False,False,False,False,False
w3_11_14,11,14,0.2600000000000002,0.3200000000000002,3,320.8315228443977,266.0966907302475,-54.73483211415021,-0.1706030368490207,1536504.5740383535,1546757.0670477478,10252.493009394268,0.006672608193054653,402558.0,402377.0,-181.0,-0.0004496246503609418,14218.0,14155.0,-63.0,-0.004431002954001969,1905451.2452244323,185.8524793412182,,,,,False,False,True,False,False,False,False,False
w4_00_04,0,4,0.04,0.12,4,297.3311316263139,242.9494541007661,-54.381677525547786,-0.18289937292504824,1502915.5593705634,1516549.717647906,13634.158277342562,0.009071805925711947,403238.0,403008.0,-230.0,-0.0005703827516255908,14126.0,14254.0,128.0,0.009061305394308368,2465292.0643585287,180.81732764210213,,,,,False,False,True,False,False,False,False,False
w4_01_05,1,5,0.06,0.14,4,240.63499198850255,347.81452198923074,107.17953000072819,0.44540292795758146,1504167.878030174,1519007.8744144023,14839.996384228347,0.009865917628597738,403077.0,402952.0,-125.0,-0.00031011444463464795,14186.0,14158.0,-28.0,-0.001973776963203158,2472586.5118913623,166.61638236780018,,,,,False,False,True,False,False,False,False,False
w4_02_06,2,6,0.08,0.1600000000000001,4,223.7373093578171,260.9477964518059,37.2104870939888,0.16631328588330818,1509053.5559003092,1520817.864693473,11764.308793163858,0.007795819271732347,402870.0,402793.0,-77.0,-0.00019112865192245638,14214.0,14301.0,87.0,0.006120726044744618,2483061.873420997,211.06738330975156,,,,,False,False,True,False,False,False,False,False
w4_03_07,3,7,0.1,0.1800000000000001,4,260.3630040232429,249.5204810561763,-10.842522967066628,-0.04164386951879962,1513446.7457394695,1520818.0367824803,7371.291043010773,0.004870532156986576,402563.0,402464.0,-99.0,-0.00024592424042944834,14244.0,14145.0,-99.0,-0.0069502948609941025,2492080.271228399,338.0792125405646,,,,,False,False,True,False,False,False,False,False
w4_04_08,4,8,0.12,0.2000000000000001,4,242.9494541007661,260.8772514347436,17.92779733397748,0.0737922931349404,1516549.717647906,1526489.9652663814,9940.247618475463,0.006554514832452904,403008.0,402645.0,-363.0,-0.0009007265364459267,14254.0,14190.0,-64.0,-0.004489967728356952,2495478.346198414,251.04790564373744,,,,,False,False,True,False,False,False,False,False
w4_05_09,5,9,0.14,0.2200000000000001,4,347.81452198923074,275.43486493151386,-72.37965705771688,-0.20809843316420798,1519007.8744144023,1530085.6473564203,11077.772942017997,0.007292768608121025,402952.0,402468.0,-484.0,-0.0012011356191308146,14158.0,14178.0,20.0,0.0014126289023873428,2501753.063705479,225.83538016168652,,,,,False,False,True,False,False,False,False,False
w4_06_10,6,10,0.1600000000000001,0.2400000000000001,4,260.9477964518059,255.6329131419317,-5.3148833098742045,-0.020367611384891703,1520817.864693473,1530588.8002584074,9770.935564934276,0.006424790102596307,402793.0,402338.0,-455.0,-0.0011296124808524478,14301.0,14344.0,43.0,0.0030067827424655616,2509390.7370974426,256.8219512267679,,,,,False,False,True,False,False,False,False,False
w4_07_11,7,11,0.1800000000000001,0.2600000000000002,4,249.5204810561763,320.8315228443977,71.31104178822139,0.2857923385141544,1520818.0367824803,1536504.5740383535,15686.537255873205,0.010314539199614201,402464.0,402558.0,94.0,0.00023356126262224697,14145.0,14218.0,73.0,0.005160834217037822,2514685.3892464135,160.30850838701758,,,,,False,False,True,False,False,False,False,False
w4_08_12,8,12,0.2000000000000001,0.2800000000000002,4,260.8772514347436,247.6282613652529,-13.248990069490674,-0.05078629890734189,1526489.9652663814,1537190.1019704218,10700.136704040458,0.007009634486639564,402645.0,402346.0,-299.0,-0.0007425896260974307,14190.0,14278.0,88.0,0.006201550387596899,2525288.9237793162,236.00529541138914,,,,,False,False,True,False,False,False,False,False
w4_09_13,9,13,0.2200000000000001,0.3000000000000002,4,275.43486493151386,289.52088750781803,14.086022576304174,0.05114102958536722,1530085.6473564203,1540824.821398042,10739.17404162162,0.007018675105002159,402468.0,402187.0,-281.0,-0.000698192154407307,14178.0,14191.0,13.0,0.0009169135280011285,2531226.3642502124,235.70028332160229,,,,,False,False,True,False,False,False,False,False
w4_10_14,10,14,0.2400000000000001,0.3200000000000002,4,255.6329131419317,266.0966907302475,10.463777588315764,0.040932826136148195,1530588.8002584074,1546757.0670477478,16168.266789340414,0.010563429437488859,402338.0,402377.0,39.0,9.693342413592552e-05,14344.0,14155.0,-189.0,-0.013176240936977134,2536413.7626633137,156.8760458811545,,,,,False,False,True,False,False,False,False,False
w5_00_05,0,5,0.04,0.14,5,297.3311316263139,347.81452198923074,50.48339036291685,0.1697884445762122,1502915.5593705634,1519007.8744144023,16092.315043838928,0.010707397992857666,403238.0,402952.0,-286.0,-0.0007092585520213869,14126.0,14158.0,32.0,0.002265326348577092,3087325.56639477,191.85092747589337,,,,,False,False,True,False,False,False,False,False
w5_01_06,1,6,0.06,0.1600000000000001,5,240.63499198850255,260.9477964518059,20.312804463303365,0.08441334444108571,1504167.878030174,1520817.864693473,16649.986663299147,0.011069234296575733,403077.0,402793.0,-284.0,-0.0007045800182099202,14186.0,14301.0,115.0,0.00810658395601297,3096154.058580175,185.95534766432544,,,,,False,False,True,False,False,False,False,False
w5_02_07,2,7,0.08,0.1800000000000001,5,223.7373093578171,249.5204810561763,25.783171698359183,0.11523858838011163,1509053.5559003092,1520818.0367824803,11764.480882171076,0.007795933309439323,402870.0,402464.0,-406.0,-0.0010077692555911337,14214.0,14145.0,-69.0,-0.0048543689320388345,3108729.7387109078,264.2470815199461,,,,,False,False,True,False,False,False,False,False
w5_03_08,3,8,0.1,0.2000000000000001,5,260.3630040232429,260.8772514347436,0.5142474115006621,0.00197511706177255,1513446.7457394695,1526489.9652663814,13043.219526911853,0.008618221661006606,402563.0,402645.0,82.0,0.00020369482540620972,14244.0,14190.0,-54.0,-0.0037910699241786015,3116289.7034118483,238.92028321550984,,,,,False,False,True,False,False,False,False,False
w5_04_09,4,9,0.12,0.2200000000000001,5,242.9494541007661,275.43486493151386,32.48541083074775,0.13371263150595125,1516549.717647906,1530085.6473564203,13535.929708514363,0.008925477055581088,403008.0,402468.0,-540.0,-0.0013399237732253453,14254.0,14178.0,-76.0,-0.005331836677423881,3123786.56574172,230.7773926882021,,,,,False,False,True,False,False,False,False,False
w5_05_10,5,10,0.14,0.2400000000000001,5,347.81452198923074,255.6329131419317,-92.18160884729903,-0.26503093752408996,1519007.8744144023,1530588.8002584074,11580.925844005076,0.007624006457813576,402952.0,402338.0,-614.0,-0.001523754690384959,14158.0,14344.0,186.0,0.013137448792202288,3132958.2837862554,270.52744538624665,,,,,False,False,True,False,False,False,False,False
w5_06_11,6,11,0.1600000000000001,0.2600000000000002,5,260.9477964518059,320.8315228443977,59.88372639259177,0.22948546493532707,1520817.864693473,1536504.5740383535,15686.709344880423,0.010314653522328358,402793.0,402558.0,-235.0,-0.0005834262263743412,14301.0,14218.0,-83.0,-0.005803789944759108,3140353.254536324,200.1919705079015,,,,,False,False,True,False,False,False,False,False
w5_07_12,7,12,0.1800000000000001,0.2800000000000002,5,249.5204810561763,247.6282613652529,-1.8922196909233833,-0.007583424346225809,1520818.0367824803,1537190.1019704218,16372.065187941538,0.01076530182570632,402464.0,402346.0,-118.0,-0.0002931939254194164,14145.0,14278.0,133.0,0.009402615765288088,3149498.3559627654,192.3702550538618,,,,,False,False,True,False,False,False,False,False
w5_08_13,8,13,0.2000000000000001,0.3000000000000002,5,260.8772514347436,289.52088750781803,28.643636073074447,0.10979736989539476,1526489.9652663814,1540824.821398042,14334.85613166052,0.009390730668287757,402645.0,402187.0,-458.0,-0.001137478423921817,14190.0,14191.0,1.0,7.047216349541931e-05,3159534.583793519,220.4092287201438,,,,,False,False,True,False,False,False,False,False
w5_09_14,9,14,0.2200000000000001,0.3200000000000002,5,275.43486493151386,266.0966907302475,-9.338174201266384,-0.03390338475700342,1530085.6473564203,1546757.0670477478,16671.419691327494,0.010895742810300363,402468.0,402377.0,-91.0,-0.00022610493256606737,14178.0,14155.0,-23.0,-0.0016222316264635351,3167618.98274409,190.00295364118818,,,,,False,False,True,False,False,False,False,False
w6_00_06,0,6,0.04,0.1600000000000001,6,297.3311316263139,260.9477964518059,-36.38333517450798,-0.12236638314831624,1502915.5593705634,1520817.864693473,17902.305322909728,0.011911717335874412,403238.0,402793.0,-445.0,-0.0011035666281451648,14126.0,14301.0,175.0,0.012388503468780971,3710893.1130835824,207.28576829346787,,,,,False,False,True,False,False,False,False,False
w6_01_07,1,7,0.06,0.1800000000000001,6,240.63499198850255,249.5204810561763,8.885489067673745,0.03692517449040949,1504167.878030174,1520818.0367824803,16650.158752306364,0.01106934870468784,403077.0,402464.0,-613.0,-0.0015208012364883138,14186.0,14145.0,-41.0,-0.002890173410404624,3721821.9238700857,223.5307169881814,,,,,False,False,True,False,False,False,False,False
w6_02_08,2,8,0.08,0.2000000000000001,6,223.7373093578171,260.8772514347436,37.139942076926474,0.1659979830075169,1509053.5559003092,1526489.9652663814,17436.409366072156,0.011554533169413926,402870.0,402645.0,-225.0,-0.0005584928140591257,14214.0,14190.0,-24.0,-0.0016884761502743773,3732939.1708943574,214.08875488768504,,,,,False,False,True,False,False,False,False,False
w6_03_09,3,9,0.1,0.2200000000000001,6,260.3630040232429,275.43486493151386,15.071860908270935,0.05788787452661843,1513446.7457394695,1530085.6473564203,16638.901616950752,0.01099404499285569,402563.0,402468.0,-95.0,-0.00023598790748280394,14244.0,14178.0,-66.0,-0.004633529907329402,3744597.9229551554,225.05078815661577,,,,,False,False,True,False,False,False,False,False
w6_04_10,4,10,0.12,0.2400000000000001,6,242.9494541007661,255.6329131419317,12.683459041165605,0.052206163986295656,1516549.717647906,1530588.8002584074,14039.082610501442,0.009257251804626207,403008.0,402338.0,-670.0,-0.0016624980149277434,14254.0,14344.0,90.0,0.006314017118001964,3754991.7858224967,267.4670339936391,,,,,False,False,True,False,False,False,False,False
w6_05_11,5,11,0.14,0.2600000000000002,6,347.81452198923074,320.8315228443977,-26.98299914483306,-0.07757870197745373,1519007.8744144023,1536504.5740383535,17496.699623951223,0.011518504886418994,402952.0,402558.0,-394.0,-0.0009777839544164069,14158.0,14218.0,60.0,0.004237886707162028,3763920.801225137,215.12175908150746,,,,,False,False,True,False,False,False,False,False
w6_06_12,6,12,0.1600000000000001,0.2800000000000002,6,260.9477964518059,247.6282613652529,-13.319535086553003,-0.05104291075710605,1520817.864693473,1537190.1019704218,16372.237276948756,0.010765416199426777,402793.0,402346.0,-447.0,-0.0011097511625077893,14301.0,14278.0,-23.0,-0.001608279141318789,3775166.221252676,230.58340515061496,,,,,False,False,True,False,False,False,False,False
w6_07_13,7,13,0.1800000000000001,0.3000000000000002,6,249.5204810561763,289.52088750781803,40.00040645164174,0.16030911082860635,1520818.0367824803,1540824.821398042,20006.7846155616,0.013155278364457701,402464.0,402187.0,-277.0,-0.000688260316450664,14145.0,14191.0,46.0,0.0032520325203252032,3783744.0159769687,189.12304444132977,,,,,False,False,True,False,False,False,False,False
w6_08_14,8,14,0.2000000000000001,0.3200000000000002,6,260.8772514347436,266.0966907302475,5.219439295503889,0.020007261142160154,1526489.9652663814,1546757.0670477478,20267.101781366393,0.013276930895402031,402645.0,402377.0,-268.0,-0.0006655987284083995,14190.0,14155.0,-35.0,-0.0024665257223396757,3795927.2022873964,187.2950184607736,,,,,False,False,True,False,False,False,False,False
w7_00_07,0,7,0.04,0.1800000000000001,7,297.3311316263139,249.5204810561763,-47.8106505701376,-0.1607993428358053,1502915.5593705634,1520818.0367824803,17902.477411916945,0.011911831839318165,403238.0,402464.0,-774.0,-0.0019194619554704665,14126.0,14145.0,19.0,0.0013450375194676482,4336560.978373493,242.23245077169165,,,,,False,False,True,False,False,False,False,False
w7_01_08,1,8,0.06,0.2000000000000001,7,240.63499198850255,260.8772514347436,20.242259446241036,0.08412018251779527,1504167.878030174,1526489.9652663814,22322.087236207444,0.014840156848343266,403077.0,402645.0,-432.0,-0.0010717555206573434,14186.0,14190.0,4.0,0.00028196813760045117,4346031.356053535,194.69645961261514,,,,,False,False,True,False,False,False,False,False
w7_02_09,2,9,0.08,0.2200000000000001,7,223.7373093578171,275.43486493151386,51.69755557369675,0.23106363316016384,1509053.5559003092,1530085.6473564203,21032.091456111055,0.013937273050301518,402870.0,402468.0,-402.0,-0.0009978404944523047,14214.0,14178.0,-36.0,-0.002532714225411566,4361247.390437664,207.36156456615572,,,,,False,False,True,False,False,False,False,False
w7_03_10,3,10,0.1,0.2400000000000001,7,260.3630040232429,255.6329131419317,-4.730090881311213,-0.01816729261922693,1513446.7457394695,1530588.8002584074,17142.05451893783,0.011326499969156318,402563.0,402338.0,-225.0,-0.0005589187282487462,14244.0,14344.0,100.0,0.007020499859590003,4375803.1430359315,255.2671348817451,,,,,False,False,True,False,False,False,False,False
w7_04_11,4,11,0.12,0.2600000000000002,7,242.9494541007661,320.8315228443977,77.88206874363158,0.32056902137071314,1516549.717647906,1536504.5740383535,19954.85639044759,0.013158062777787853,403008.0,402558.0,-450.0,-0.0011166031443544545,14254.0,14218.0,-36.0,-0.0025256068472007858,4385954.303261378,219.79382950412707,,,,,False,False,True,False,False,False,False,False
w7_05_12,5,12,0.14,0.2800000000000002,7,347.81452198923074,247.6282613652529,-100.18626062397783,-0.2880450765856173,1519007.8744144023,1537190.1019704218,18182.227556019556,0.011969804674665723,402952.0,402346.0,-606.0,-0.0015039012090770118,14158.0,14278.0,120.0,0.008475773414324057,4398733.767941488,241.924910156853,,,,,False,False,True,False,False,False,False,False
w7_06_13,6,13,0.1600000000000001,0.3000000000000002,7,260.9477964518059,289.52088750781803,28.573091056012117,0.10949734561674769,1520817.864693473,1540824.821398042,20006.956704568816,0.013155393008617306,402793.0,402187.0,-606.0,-0.0015044948646078754,14301.0,14191.0,-110.0,-0.007691769806307251,4409411.88126688,220.39393328921136,,,,,False,False,True,False,False,False,False,False
w7_07_14,7,14,0.1800000000000001,0.3200000000000002,7,249.5204810561763,266.0966907302475,16.57620967407118,0.0664322608064356,1520818.0367824803,1546757.0670477478,25939.030265267473,0.017055972271439783,402464.0,402377.0,-87.0,-0.0002161684026397392,14145.0,14155.0,10.0,0.0007069635913750442,4420136.6344708465,170.40485281323095,,,,,False,False,True,False,False,False,False,False
